item_id,item_name,group,created_at,updated_at,state,Name,Tâches,Description de tâche,Niveau Risque,Analyse  Risque,Dangers Identifiés,Mesures Prévention,EPI Requis,Procédure sécurité,Formations Requises,Statut,Responsable,Date échéance,Notes
10891409530,Analyse Protection Infrastructures,Confirmité,2026-01-02T14:47:58Z,2026-01-13T15:23:56Z,active,,,,,"Manipulation répétée de charges lourdes (20kg) sur terrain instable près de l'eau, combinée à des conditions météorologiques difficiles et à la pression temporelles d'une situation d'urgence.","-Troubles musculo - squelettiques (dos, épaules, genoux)
-Glissades et chutes sur terrain boueux / instable
-Fatigue physique intense et épuisement
-Hypothermie (travail sous la pluie / froid)
-Déshydratation et coup de chaleur (travail intense)
-Stress élevé et pression psychologique
-Montée soudaine des eaux","-Vérification zone froide par SOPFEU avant début
-Rotation équipes toutes les 2 heures maximum
-Techniques de levage sécuritaires (formation obligatoire)
-Système de jumelage (binômes obligatoires)
-Pauses 15 min par heure de travail
-Hydratation régulière forcée
-Surveillance météo continue
-Procédure d'évacuation immédiate si danger
-Communication radio constante avec coordonnateur",,https://aqbrs.monday.com/protected_static/27459850/resources/2678227092/RIUSC_Tache6_Protection_Digues_SST.pdf,,À faire,Esther L.Lapointe,2026-03-15,
10919756030,Analyse Dégagement d'Accès par Ébranchage,Confirmité,2026-01-06T12:05:41Z,2026-01-13T15:35:27Z,active,,,,,"Utilisation de scies à chaîne pour couper branches et arbres au sol avec risques de contact avec chaîne en mouvement, rebond (kickback), branches sous tension et efforts répétés, le tout en zone extérieure avec conditions variables.","-Contact avec la chaîne en mouvement (lacérations graves)
-Rebond de la scie (kickback) - perte de contrôle
-Branches sous tension (coup de fouet)
-Projection de copeaux et débris
-Troubles musculo-squelettiques (vibrations, postures)
-Exposition aux carburants et gaz d'échappement
-Bruit excessif (>85 dB)
-Chutes et trébuchements sur terrain accidenté
-Fatigue et baisse de vigilance
-Insectes piqueurs et plantes irritantes","-Formation obligatoire utilisation scie à chaîne 
-Système de jumelage obligatoire (jamais seul)
-Périmètre de sécurité 2 mètres autour opérateur
-Inspection quotidienne des scies avant utilisation
-Rotation opérateur/assistant toutes les 30-45 minutes
-Pauses 10 min par heure de travail
-Limitation: arbres/branches AU SOL uniquement (pas d'abattage)
-Distance minimale 3 mètres des lignes électriques
-Arrêt travaux si vents >40 km/h ou visibilité réduite
-Communication constante avec coordonnateur SOPFEU",,"https://aqbrs.monday.com/protected_static/27459850/resources/2659851277/Procedure_Securite_Ebranchage.pdf, https://aqbrs.monday.com/protected_static/27459850/resources/2678188496/RIUSC_Elagage_Deblaiement_SST.pdf",,À faire,Dany  Chaput,,
10988031640,Analyse Gestion de Débris,Confirmité,2026-01-13T15:33:05Z,2026-01-13T15:52:36Z,active,,,,,"Manipulation d'objets lourds, tranchants et contaminés sur le terrain instable avec risques de coupures, écrasements et exposition à contaminants biologiques /&nbsp;chimiques.","-Coupures et perforations (débris tranchants, clous, verre)
-Écrasement pieds/mains (Objets lourds)
-Troubles musculo - squelettiques (levage répété, postures)
-Exposition contaminants biologiques (moisissures, eaux usées)
-Chutes et trébuchements (terrain encombré, inégal)
-Poussières et particules irritantes
-Insectes, rongeurs, animaux dans débris
-Fatigue physique et stress thermique","-Évaluation zone par SOPFEU avant début (zone froide confirmée)
-Système de jumelage obligatoire
-Techniques de levage sécuritaires (dos droits, genoux fléchis)
-Rotation tâches toutes les 2 heures
-Pauses 15 min par heure
-Tri sécuritaire (identifier dangers avant manipulation)
-Utilisation outils appropriés (pinces, crochets pour objets tranchants)
-Hydratation régulière
-Signalisation périmètre travail
-Procédure pour objets dangereux (batteries, bonbonnes gaz)",,https://aqbrs.monday.com/protected_static/27459850/resources/2678332463/RIUSC_Tache7_Gestion_Debris_SST.pdf,,À faire,,,
10988319661,Analyse Reconnaissance de territoire,Confirmité,2026-01-13T15:55:35Z,2026-01-13T16:05:54Z,active,,,,,"Déplacements sur terrain potentiellement accidenté avec risques de chutes, trébuchements et exposition aux éléments, tout en maintenant vigilance pour dangers résiduels dans zone sécurisée.","-Chutes et trébuchements (terrain inégal, débris, boue)
-Chute d'objets depuis structures endommagées
-Exposition intempéries (Chaleur, froid, pluie)
-Fatigue physique (marche prolongée)
-Désorientation (zones étendues, signalisation absente)
-Animaux sauvages ou errants
-Insecte piqueurs (tiques, moustiques)
-Plantes irritantes (herbe à puce)
-Stress et charge émotionnelle (voir destructions)
-Isolement relatif du binôme","-Système de jumelage obligatoire (binômes)
-Communication radio constante avec coordonnateur
-Check-in aux 30 minutes minimum
-GPS et Cartes de la zone
-Itinéraire planifié avant le départ
-Inspection visuelle EXTÉRIEURE uniquement (ne jamais entrer structures)
-Distance minimale 3 mètres des structures endommagées
-Pauses régulières (15 min par 2h)
-Hydratation et protection solaire / froide
-Limitation durée reconnaissance (max 4h consécutives)",,https://aqbrs.monday.com/protected_static/27459850/resources/2678377297/RIUSC_Tache9_Reconnaissance_Territoire_SST.pdf,,À faire,,,
10988484637,Analyse Soutien lors d'évacuations,Confirmité,2026-01-13T16:07:04Z,2026-01-15T02:41:44Z,active,,,,,"Contact direct avec population en détresse dans contexte d'urgence, avec risques de violence verbale / physique, charge émotionnelle élevée et dangers résiduels dans zones évacuées.","-Violence verbale ou physique (personnes en détresse / panique)
-Charge émotionnelle et stress (situations traumatisantes)
-Fatigue physique (porte-à-porte prolongé, escaliers)
-Exposition intempéries (travail extérieur)
-Chutes et trébuchements (urgence, terrain encombré)
-Animaux de compagnie stressés (morsures)
-Travail isolé (entrée domiciles)
-Communication difficile (langues, handicap)
-Infection (contact rapproché, maladies contagieuses)
-Stress vicariant (absorption trauma d'autrui)","-Système de jumelage obligatoire (binômes minimum)
-Formation gestion situations difficiles et désescalade
-Communication radio constante avec coordonnateur
-Identification claire (Veste RIUSC, Badge)
-Limites d'intervention définies (ne pas forcer entrée, police si violence)
-Protocole sécurité personnelle (distance, position sortie)
-Pauses régulières et débriefings
-Rotation tâches (limiter exposition émotionnelle)
-Support psychologique post -déploiement disponible
-Respect distanciation physique si maladies contagieuses",,https://aqbrs.monday.com/protected_static/27459850/resources/2683786851/RIUSC_Tache3_Soutien_Evacuations_SST%20(1).pdf,,À faire,,,
10988824405,Analyse Coordination des opérations sur le terrain,Confirmité,2026-01-13T16:27:07Z,2026-01-15T01:39:12Z,active,,,,,"Travail principalement stationnaire dans zone sécurisée avec risques limités aux aspects ergonomiques, stress et fatigue liés à la coordination d'urgence.","-Stress élevé (coordination multiple équipes, urgence)
-Fatigue mentale (attention soutenue, décisions rapides)
-Postures statiques prolongées (assis/debout poste commande)
-Troubles musculo -squelettiques (nuque, épaules, dos)
-Fatigue visuelle (écrans, cartes, documents)
-Fatigue Auditive (radio constante, bruit ambiant)
-Surcharge informationnelle
-Pression psychologique (responsabilité sécurité équipes)
-Heures prolongées (quarts 10-12h)
-Déshydratation et nutrition inadéquate (oubli pauses)","-Formation coordination opérations d'urgence
-Poste de travail ergonomique (chaise, écran, éclairage)
-Pauses obligatoires (15 min aux 2h)
-Rotation avec autres coordonnateurs si disponible
-Système de relève planifié (quarts maximum 12h)
-Hydratation et collations accessibles au poste
-Check-list et procédures écrites (réduire charge mentale)
-Support du coordonnateur SOPFEU principal
-Débriefing post-quart
-Accès supports psychologique si nécessaire",,https://aqbrs.monday.com/protected_static/27459850/resources/2683727732/RIUSC_Tache10_Coordination_Operations_SST.pdf,,À faire,,,
11003306828,Analyse Aide préparation des centres d'hébergement,Confirmité,2026-01-14T19:21:08Z,2026-01-15T01:45:40Z,active,,,,,Tâches logistiques légères avec risques minimes limités au levage léger et postures lors de l'installation de mobilier.,"-Troubles musculo -squelettiques mineurs (dos, épaules)
-Chutes et trébuchements (encombrement temporaire)
-Pincements de doigts (pliage/dépliage lits de camp)
-Fatigue physique légère
-Poussières (nettoyage espaces)
-Bruit modéré (activité collective)
-Stress organisationnel léger","-Travail en binômes pour objets lourds
-Techniques de levage sécuritaires
-Circulation dégagée
-Pauses régulières (15 min / 2h)
-Rotation des tâches
-Hydratation accessible
-Supervision Croix-Rouge",,https://aqbrs.monday.com/protected_static/27459850/resources/2683734003/RIUSC_Tache1_Preparation_Centres_Hebergement_SST.pdf,,À faire,,,
11003372707,Analyse Soutien aux besoins essentiels des sinistrés,Confirmité,2026-01-14T19:28:27Z,2026-01-15T01:56:44Z,active,,,,,"Tâche logistique légère avec contact humain, risques minimes liés à la manipulation de charge légères et stress émotionnel modéré.","-TMS légers (transport caisses, sacs)
-Chutes et trébuchements
-Fatigue physique (station debout prolongée)
-Stress émotionnel (contact avec détresse des sinistrés)
-Exposition maladies contagieuses (contact rapproché)
-Allergie alimentaires (manipulation denrées)
-Conflits occasionnels avec personnes stressées
-Charge émotionnelle","-Travail en binômes
-Techniques levages sécuritaires
-Rotation des tâches
-Pauses 15 min/2h
-Hygiène stricte des mains (savon, gel hydroalcoolique)
-Formation communication empathique
-Support superviseur Croix-Rouge
-Débriefing si situations difficiles
-Hydratation",,https://aqbrs.monday.com/protected_static/27459850/resources/2683746186/RIUSC_Tache2_Soutien_Besoins_Essentiels_SST.pdf,,À faire,,,
11003526095,Analyse Réconfort et soutien moral,Confirmité,2026-01-14T19:38:45Z,2026-01-15T02:03:28Z,active,,,,,Tâche relationnelle sans risque physique significatif mais charge émotionnelle élevée liée au contact prolongé avec personnes traumatisées.,"-Stress vicariant (absorption trauma d'autrui)
-Fatigue émotionnelle et compassion
-Épuisement psychologique
-Situations verbalement difficiles (colère, détresse intense)
-Exposition à récits traumatisants
-Sentiments d'impuissance
-Isolement émotionnel du réserviste
-Fatigue physique (station debout / assise prolongée)","-Formation premiers secours psychologiques
-Travail en binômes (soutien mutuel)
-Rotation tâches (limiter exposition continue)
-Pauses obligatoires fréquentes
-Débriefing quotidien avec superviseur Croix-Rouge
-Limites claires (réserviste n'est pas thérapeute)
-Support psychologique post -déploiement disponible
-Auto -surveillance signes épuisement",,https://aqbrs.monday.com/protected_static/27459850/resources/2683751941/RIUSC_Tache4_Reconfort_Soutien_Moral_SST.pdf,,À faire,,,
11003673993,Analyse Suivi des clientèles vulnérables,Confirmité,2026-01-14T19:50:24Z,2026-01-15T02:12:07Z,active,,,,,Tâche de surveillance bienveillante avec risque limités au stress émotionnel et responsabilité morale liée au personnes fragiles.,"-Stress élevé (responsabilité personnes vulnérables)
-Charge émotionnelle (voir souffrance)
-Situations médicales urgentes (savoir réagir)
-Communication difficile (handicaps, langues, démence)
-Fatigue compassionnelle
-Sentiment inadéquation face besoins complexes
-Déplacements fréquents (fatigue physique légère)
-Pression temporelle (vérifications régulières)","-Formation assistance personnes vulnérables
-Travail en binômes
-Check-list de vérification structurée
-Communication claire avec infirmières / Croix-Rouge
-Limites d'intervention définies (référer professionnels santé)
-Pauses régulières
-Débriefing quotidien
-Support psychologique disponible
-Rotation avec autres tâches",,https://aqbrs.monday.com/protected_static/27459850/resources/2683760189/RIUSC_Tache5_Suivi_Clienteles_Vulnerables_SST.pdf,,À faire,,,
11003843318,Analyse Soutien logistique SOPFEU,Confirmité,2026-01-14T20:03:33Z,2026-01-15T02:19:18Z,active,,,,,Tâches logistiques variées avec risques minimes liés à la manipulation de matériel léger et déplacements sur terrain sécurisé.,"-TMS légers (transport matériel, caisses)
-Chutes et trébuchements (terrain variable)
-Fatigue physique (activité soutenue)
-Conditions météo (travail extérieur)
-Manipulation équipements SOPFEU (suivre directives)
-Circulation véhicules lourds (camions, VTT)
-Bruit modéré (équipement, générateurs)
-Poussières et débris","-Binômes de travail
-Techniques levage sécuritaires
-Supervision SOPFEU constante
-Formation sur équipements spécifiques avant utilisation
-Circulation piétonne délimitée (éloignée véhicules)
-Pauses 15min/2h
-Hydratation et protection solaire/froide
-Rotation tâches
-Communication radio",,https://aqbrs.monday.com/protected_static/27459850/resources/2683767063/RIUSC_Tache7_Soutien_Logistique_SOPFEU_SST.pdf,,À faire,,,
