id,name,created_at,updated_at,Sous-éléments,Identifiant de l'élément,Personne,Prefixe,Modalité,SessionID,Capacité liste d'attente,Catalogue Formations,Capacité (Nbr Pers.),Place restantes,Date,Dates du camp,Lien d'invitation,Site,Nbrs Participants,Formateur,Adresse,Liste de présence...,link to Formations des bénévoles,link to Inscription % Présence
18179369270,S'initier à la sécurité civile,2025-10-14T11:46:35Z,2026-02-27T02:18:09Z,,18179369270,,S.C.,ASYNC,,,,,,2025-01-01,,,,,En ligne,,,,
18184790545,Prévention et Sécurité Incendie (Axc-ÉvaQ),2025-10-14T19:35:47Z,2025-10-19T00:14:33Z,,18184790545,,S.C.,ASYNC,,,,,,2025-01-01,,,,,En ligne,,,,
18185675217,Cohorte 1 - Camp de qualification - MSP,2025-10-14T21:08:11Z,2026-01-20T18:35:07Z,,18185675217,,S.C.,PRES,,,,,,2025-02-21,,https://link_mkx35f6z/,,,Mixte,"Lévis, QC, Canada",,,
18185682384,Cohorte 2 - Camp de qualification - MSP,2025-10-14T21:09:20Z,2026-01-20T18:35:07Z,,18185682384,,S.C.,PRES,,,,,,2025-03-14,,https://link_mkx35f6z/,,,Mixte,"Longueuil, QC, Canada",,,
18185690276,Cohorte 3 - Camp de qualification - MSP,2025-10-14T21:10:26Z,2026-01-20T18:35:07Z,,18185690276,,S.C.,PRES,,,,,,2025-03-21,,https://link_mkx35f6z/,,,Mixte,"Lévis, QC, Canada",,,
18185696293,Cohorte 4 - Camp de qualification - MSP,2025-10-14T21:11:00Z,2026-01-20T18:35:07Z,,18185696293,,S.C.,PRES,,,,,,2025-03-28,,https://link_mkx35f6z/,,,Mixte,"Trois-Rivières, QC, Canada",,,
18189665364,Instructeur - Camp de qualification - MSP,2025-10-15T11:42:46Z,2025-12-12T13:38:16Z,,18189665364,,S.C.,PRES,,,,,,2025-02-20,,,,,Guy Lapointe,"Levis, QC, Canada",,,
18189710962,Le bénévole en sécurité civile (AQBRS),2025-10-15T11:50:57Z,2025-12-12T12:57:20Z,,18189710962,,S.C.,PRES,,,,,,2025-04-01,,,,,Mixte,,,,
18272098751,Cohorte 5 - Camp de qualification - MSP - Québec,2025-10-26T16:09:47Z,2026-01-23T23:29:56Z,,18272098751,,S.C.,PRES,,,,50,,2025-11-29,,,,,,"Québec, QC, Canada",,,
10661174184,"Les inondations, introduction aux concepts de base",2025-11-28T21:33:39Z,2025-11-28T21:34:02Z,,10661174184,,S.C.,ASYNC,,,,,,,,,,,,,,,
10727357954,ICS-100 Introduction au système de commandement des interventions,2025-12-08T17:17:42Z,2026-01-06T12:00:59Z,,10727357954,,S.C.,ASYNC,,,,,,,,,,,,,,,
10849748955,Cohorte 6 - Camp de qualification - Laval,2025-12-24T22:10:33Z,2026-03-02T19:26:37Z,,10849748955,,S.C.,PRES,,,,70,,2026-01-31,"31 janvier, 1 février 2026",https://riusc.fillout.com/t/dE2KYaPLfMus,Centre du Sablon,,,"755 Chemin du Sablon, Laval, QC H7W 4H5, Canada",,,
11051840169,Cohorte 7 - Camp de qualification - Trois-Rivières,2026-01-20T18:24:48Z,2026-02-27T02:13:37Z,,11051840169,,S.C.,PRES,,,,70,,2026-02-21,"21, 22 février 2026",https://riusc.fillout.com/t/dE2KYaPLfMus,Collège Marie-de-l'Incarnation,,,"725 Rue Hart, Trois-Rivières, QC G9A 4R9, Canada",,,
11074000836,Cohorte 8 - Camp de qualification - Sainte-Catherine,2026-01-22T18:37:43Z,2026-03-10T13:57:57Z,,11074000836,,S.C.,PRES,,6,,70,,2026-03-12,14 et 15 mars 2026,https://riusc.fillout.com/t/dE2KYaPLfMus,Centre Municipal Aimé-Guérin,,,"5365 Boul Saint-Laurent, Sainte-Catherine, QC, Canada",,,
11267314669,Cohorte 9 - Camp de qualification - Chicoutimi,2026-02-13T03:28:15Z,2026-04-08T19:02:19Z,,11267314669,,S.C.,PRES,,,,70,,2026-04-25,25-26 avril 2026,https://riusc.fillout.com/t/dE2KYaPLfMus,Hôtel Chicoutimi,,,"460 Rue Racine Est, Chicoutimi, Québec G7H 1T7, Canada",,,
11267288411,Cohorte 10 - Camp de qualification - Québec,2026-02-13T03:28:26Z,2026-04-09T12:51:55Z,,11267288411,,S.C.,PRES,,,,70,,2026-05-23,23-24 mai 2026,https://riusc.fillout.com/t/dE2KYaPLfMus,Résidences Campus Notre-Dame-De-Foy,,,"5030 Rue Clément Lockquell, Saint-Augustin-de-Desmaures, QC G3A 1B3",,,
11267307391,Cohorte 11 - Camp de qualification - Rimouski,2026-02-13T03:28:36Z,2026-04-04T02:47:32Z,,11267307391,,S.C.,PRES,,,,70,,2026-09-26,26-27 septembre 2026,https://riusc.fillout.com/t/dE2KYaPLfMus,Site à définir,,,,,,
11267307484,Cohorte 12 - Camp de qualification - Sherbrooke,2026-02-13T03:28:48Z,2026-03-30T01:40:39Z,,11267307484,,S.C.,PRES,,,,70,,2026-10-17,17-18 octobre 2026,https://riusc.fillout.com/t/dE2KYaPLfMus,Site à définir,,,,,,
11267277716,Cohorte 13 - Camp de qualification - Gatineau,2026-02-13T03:29:05Z,2026-04-10T12:20:08Z,,11267277716,,S.C.,PRES,,,,70,,2026-11-14,14 et 15 novembre 2026,https://riusc.fillout.com/t/dE2KYaPLfMus,Site à définir,,,,,,
